"from","to","width","title"
"CEBPE","ANG",4,"CEBPE-ANG<br />0.3788"
"COCH","ANG",2,"COCH-ANG<br />0.1815"
"CPNE6","ANG",3,"CPNE6-ANG<br />0.2672"
"DHRS4","ANG",2,"DHRS4-ANG<br />0.1551"
"GZMH","ANG",2,"GZMH-ANG<br />0.216"
"JPH4","ANG",2,"JPH4-ANG<br />0.2068"
"LTB4R","ANG",2,"LTB4R-ANG<br />0.2265"
"LTB4R2","ANG",2,"LTB4R2-ANG<br />0.1634"
"MDP1","ANG",1,"MDP1-ANG<br />0.1321"
"NDRG2","ANG",1,"NDRG2-ANG<br />0.1348"
"OR5AU1","ANG",2,"OR5AU1-ANG<br />0.2422"
"PPP1R3E","ANG",2,"PPP1R3E-ANG<br />0.1845"
"RBM23","ANG",2,"RBM23-ANG<br />0.1699"
"REC8","ANG",2,"REC8-ANG<br />0.2231"
"RNASE13","ANG",3,"RNASE13-ANG<br />0.3284"
"SLC22A17","ANG",3,"SLC22A17-ANG<br />0.2563"
"TSSK4","ANG",2,"TSSK4-ANG<br />0.1709"
"AP4S1","AP1G2",2,"AP4S1-AP1G2<br />0.1862"
"BCL2L2","AP1G2",3,"BCL2L2-AP1G2<br />0.2715"
"BRMS1L","AP1G2",2,"BRMS1L-AP1G2<br />0.2022"
"CCNB1IP1","AP1G2",2,"CCNB1IP1-AP1G2<br />0.1599"
"CEBPE","AP1G2",3,"CEBPE-AP1G2<br />0.2823"
"COCH","AP1G2",2,"COCH-AP1G2<br />0.2217"
"CPNE6","AP1G2",3,"CPNE6-AP1G2<br />0.2579"
"DHRS4","AP1G2",2,"DHRS4-AP1G2<br />0.1725"
"DTD2","AP1G2",1,"DTD2-AP1G2<br />0.1453"
"GZMH","AP1G2",2,"GZMH-AP1G2<br />0.1985"
"JPH4","AP1G2",3,"JPH4-AP1G2<br />0.2638"
"LTB4R","AP1G2",2,"LTB4R-AP1G2<br />0.2069"
"LTB4R2","AP1G2",3,"LTB4R2-AP1G2<br />0.2618"
"MDP1","AP1G2",2,"MDP1-AP1G2<br />0.2263"
"NDRG2","AP1G2",2,"NDRG2-AP1G2<br />0.2142"
"OR5AU1","AP1G2",2,"OR5AU1-AP1G2<br />0.1605"
"PPP1R3E","AP1G2",2,"PPP1R3E-AP1G2<br />0.2305"
"PSME2","AP1G2",1,"PSME2-AP1G2<br />0.1287"
"RBM23","AP1G2",2,"RBM23-AP1G2<br />0.2035"
"REC8","AP1G2",2,"REC8-AP1G2<br />0.2171"
"RNASE13","AP1G2",2,"RNASE13-AP1G2<br />0.1621"
"SAMD4A","AP1G2",2,"SAMD4A-AP1G2<br />0.1649"
